Stacja pocz¹tkowa;Stacja koñcowa;Strona 1;Strona 2;Strona 3;Strona 4;Strona 5;Strona 6;Strona 7;Status
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda8ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gdañsk;Kraków;27.214000000000002;5.969;0.0;0.0;0.0;0;0;Nie uda³o siê znaleŸæ elementów danej strony
Gdañsk;Kraków;28.302;5.964;0.0;0.0;0.0;0;0;Nie uda³o siê znaleŸæ elementów danej strony
Gdañsk;Kraków;27.527;1.129;0.55;0.234;1.379;415;2998;Znaleziono po³¹czenie
